file,i,j,compressed,num_pages,input_bytes_plain,input_bytes_hybrid,output_bytes_plain,output_bytes_hybrid,num_values_plain,num_values_hybrid,time
/dev/shm/with_compression/parquet-3/lineitem.parquet,13,7,1,2,57,526409,0,8388608,0,1048576,804
/dev/shm/with_compression/parquet-3/lineitem.parquet,14,7,1,2,63,526409,0,8388608,0,1048576,810
/dev/shm/with_compression/parquet-3/lineitem.parquet,15,7,1,2,60,526409,0,8388608,0,1048576,809
/dev/shm/with_compression/parquet-3/lineitem.parquet,16,7,1,2,59,526409,0,8388608,0,1048576,809
/dev/shm/with_compression/parquet-3/lineitem.parquet,17,7,1,2,54,85769,0,1366536,0,170817,194
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,8,1,3,10109,1575044,0,4194304,0,1048576,893
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,8,1,3,10112,1575044,0,4194304,0,1048576,896
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,8,1,3,10109,1575044,0,4194304,0,1048576,894
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,8,1,3,10109,1575044,0,4194304,0,1048576,890
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,8,1,3,10110,1575044,0,4194304,0,1048576,890
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,8,1,3,10109,1575044,0,4194304,0,1048576,889
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,8,1,3,10109,1575044,0,4194304,0,1048576,886
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,8,1,3,10109,1575044,0,4194304,0,1048576,886
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,8,1,3,10109,1575044,0,4194304,0,1048576,886
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,8,1,3,10109,1575044,0,4194304,0,1048576,891
